Product_Name,Rating,No_Of_Ratings,Specifications,Price,Original_Price,Discount,Page
"POCO C75 5G (Silver Stardust, 64 GB)",4.2,"1,44,935 Ratings & 6,395 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹8,499","₹10,999",22% off,2
"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 256 GB)",4.4,"1,13,807 Ratings & 5,910 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display50MP + 13MP | 32MP Front Camera5500 mAh BatteryDimensity 7400 Processor68W Charger1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹22,999","₹25,999",11% off,2
"CMF by Nothing Phone 2 Pro (Orange, 128 GB)",4.4,"65,644 Ratings & 4,533 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.2 cm (6.77 inch) Display50MP + 50MP + 8MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 Pro 5G Processor1 Year Manufacturing Warranty,"₹18,999","₹22,999",17% off,2
"realme P3x 5G (Lunar Silver, 128 GB)",4.4,"69,374 Ratings & 2,637 Reviews",6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Full HD Display50MP Rear Camera | 8MP Front Camera6000 mAh BatteryDimensity 6400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹12,999","₹16,999",23% off,2
"vivo T4R 5G (Twilight Blue, 128 GB)",4.5,"50,188 Ratings & 2,250 Reviews",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP (OIS) + 2MP | 32MP Front Camera5700 mAh BatteryDimensity 7400 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹20,999","₹23,499",10% off,2
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",4.4,"21,071 Ratings & 1,619 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹12,499","₹15,999",21% off,2
"vivo T4 Pro 5G (Nitro Blue, 128 GB)",4.5,"12,488 Ratings & 793 Reviews",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP + 2MP + 50MP | 32MP Front Camera6500 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹27,999","₹32,999",15% off,2
"POCO M7 5G (Mint Green, 128 GB)",4.3,"15,304 Ratings & 742 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5160 mAh Battery4 Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹10,999","₹13,999",21% off,2
"realme P3 Lite 5G Charger in the Box (Midnight Lily, 128 GB)",4.4,"10,295 Ratings & 417 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Display32MP Rear Camera | 8MP Front Camera6000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹11,749","₹13,999",16% off,3
"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",4.4,"79,957 Ratings & 4,017 Reviews",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera5500 mAh Battery7s Gen 2 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹19,999","₹22,999",13% off,3
"CMF by Nothing Phone 2 Pro (White, 128 GB)",4.4,"65,644 Ratings & 4,533 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.2 cm (6.77 inch) Display50MP + 50MP + 8MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 Pro 5G Processor1 Year Manufacturing Warranty,"₹18,999","₹22,999",17% off,3
"vivo T4x 5G (Marine Blue, 128 GB)",4.4,"1,98,854 Ratings & 8,775 Reviews",6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,"₹15,499","₹17,999",13% off,3
"vivo T4 5G (Phantom Grey, 128 GB)",4.5,"90,515 Ratings & 4,081 Reviews",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP (OIS) + 2MP | 32MP Front Camera7300 mAh BatterySnapdragon 7s Gen 3 5G Processor1 Year Warranty on the Handset and 6 Months Warranty on Inbox Accessories,"₹22,999","₹25,999",11% off,3
"Nothing Phone (3a) (Black, 256 GB)",4.5,"54,065 Ratings & 3,783 Reviews",8 GB RAM | 256 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) | 32MP Front Camera5000 mAh Battery7s Gen3 Processor1 Year Manufacturing Warranty,"₹26,999","₹29,999",10% off,3
"POCO C75 5G (Aqua Bliss, 128 GB)",4.2,"1,44,935 Ratings & 6,395 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹8,999","₹11,499",21% off,3
"OnePlus Nord CE5 5G (Nexus Blue, 128 GB)",4.5,"6,204 Ratings & 343 Reviews",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP Rear Camera7100 mAh Battery1 Year Warranty,"₹24,968","₹24,999",,3
"vivo T4R 5G (Arctic White, 128 GB)",4.5,"50,188 Ratings & 2,250 Reviews",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP (OIS) + 2MP | 32MP Front Camera5700 mAh BatteryDimensity 7400 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹20,999","₹23,499",10% off,3
"realme Narzo 80 Lite 5G (Onyx Black, 128 GB)",4.3,"5,811 Ratings & 228 Reviews",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display50MP Rear Camera6000 mAh Battery1 Year Warranty,"₹12,272","₹14,999",18% off,3
"REDMI Note 14 SE 5G (Titan Black, 128 GB)",4.3,"21,401 Ratings & 912 Reviews",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP + 2MP | 20MP Front Camera5110 mAh BatteryDimensity 7025 Ultra Processor1 Year Warranty on the Handset and 6 Months Warranty on the Inbox Accessories,"₹13,499","₹19,999",32% off,3
"CMF by Nothing Phone 2 Pro (Black, 128 GB)",4.4,"65,644 Ratings & 4,533 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.2 cm (6.77 inch) Display50MP + 50MP + 8MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 Pro 5G Processor1 Year Manufacturing Warranty,"₹18,999","₹22,999",17% off,3
"MOTOROLA G96 5G (Pantone Ashleigh Blue, 256 GB)",4.4,"79,957 Ratings & 4,017 Reviews",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera5500 mAh Battery7s Gen 2 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹19,999","₹22,999",13% off,3
"POCO M7 Pro 5G (Olive Twilight, 128 GB)",4.3,"34,877 Ratings & 2,523 Reviews",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 20MP Front Camera5110 mAh BatteryDimensity 7025 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹13,499","₹18,999",28% off,3
"POCO M6 Plus 5G (Graphite Black, 128 GB)",4.2,"17,662 Ratings & 1,022 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display108MP + 2MP | 13MP Front Camera5030 mAh BatterySnapdragon 4 Gen2 AE Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹12,490","₹17,999",30% off,3
"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",4.4,"40,115 Ratings & 1,193 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD+ Display50MP + 2MP | 5MP Front Camera6000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹11,999","₹13,999",14% off,3
"MOTOROLA g57 power 5G (Pantone Regatta, 128 GB)",4.4,"6,095 Ratings & 368 Reviews",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 8MP Front Camera7000 mAh Battery6s Gen 4 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹14,999","₹17,999",16% off,3
"POCO M7 Pro 5G (Lunar Dust, 128 GB)",4.3,"34,877 Ratings & 2,523 Reviews",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 20MP Front Camera5110 mAh BatteryDimensity 7025 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹13,499","₹18,999",28% off,3
"vivo T4x 5G (Pronto Purple, 256 GB)",4.4,"1,48,345 Ratings & 7,016 Reviews",8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,"₹18,499","₹20,999",11% off,3
"POCO M7 Pro 5G (Lavender Frost, 256 GB)",4.3,"13,446 Ratings & 1,107 Reviews",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 20MP Front Camera5110 mAh BatteryDimensity 7025 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹15,499","₹20,999",26% off,3
"POCO X7 5G (Glacier Green, 128 GB)",4.3,"28,239 Ratings & 2,138 Reviews",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display50MP + 8MP + 2MP | 20MP Front Camera5500 mAh BatteryDimensity 7300 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹16,999","₹24,999",32% off,3
"Motorola Edge 50 Fusion (Forest Green, 128 GB)",4.4,"1,40,660 Ratings & 8,926 Reviews",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Processor1 Year on Handset and 6 Months on Accessories,"₹18,999","₹25,999",26% off,3
"realme C71 (Sea Blue, 64 GB)",4.3,677 Ratings & 25 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.14 cm (6.75 inch) HD+ Display13MP Rear Camera | 5MP Front Camera6300 mAh BatteryT7250 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹7,715","₹8,999",14% off,3
"OnePlus Nord CE5 5G (Black Infinity, 256 GB)",4.5,"6,204 Ratings & 343 Reviews",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP Rear Camera7100 mAh Battery1 Year Warranty,"₹26,999",,,3
